"name","eng","country","region","study","priority","log_avg_sr","se_sr","avg_log_mult","se_mult","CRA_Window","MSL_Window","avg_mult","sortby","display"
"Neuroscience CRA Engaged","CRA Window","Overall","Overall","Neuroscience","Overall",NA,NA,0.0693614123182392,0.0613518585620703,NA,NA,1.07182350937586,"Neuroscience","Neuroscience"
"Neuroscience MSL Engaged","MSL Window","Overall","Overall","Neuroscience","Overall",NA,NA,0.065652864577605,0.0905533690814569,NA,NA,1.06785596218813,"Neuroscience","Neuroscience"
"M21-307 CRA Engaged","CRA Window","Overall","Overall","M21-307","Overall",NA,NA,0.0693614123182392,0.0613518585620703,22,73,1.07182350937586,"Neuroscience >> M21-307","   M21-307"
"M21-307 MSL Engaged","MSL Window","Overall","Overall","M21-307","Overall",NA,NA,0.065652864577605,0.0905533690814569,22,73,1.06785596218813,"Neuroscience >> M21-307","   M21-307"
"Oncology CRA Engaged","CRA Window","Overall","Overall","Oncology","Overall",NA,NA,0.257954829175976,0.0279027746688273,NA,NA,1.2942803535937,"Oncology","Oncology"
"Oncology MSL Engaged","MSL Window","Overall","Overall","Oncology","Overall",NA,NA,0.061374043791195,0.0314818762781903,NA,NA,1.06329655929042,"Oncology","Oncology"
"Oncology Australia CRA Engaged","CRA Window","Australia","Overall","Oncology","Overall",NA,NA,-0.541905355852518,0.217891193017524,NA,NA,0.581638966708346,"Oncology","Oncology"
"Oncology Australia MSL Engaged","MSL Window","Australia","Overall","Oncology","Overall",NA,NA,0.351359484902868,0.317111255065069,NA,NA,1.42099806145593,"Oncology","Oncology"
"Oncology Austria CRA Engaged","CRA Window","Austria","Overall","Oncology","Overall",NA,NA,-0.474965115794159,0.254796814685661,NA,NA,0.621906750809732,"Oncology","Oncology"
"Oncology Austria MSL Engaged","MSL Window","Austria","Overall","Oncology","Overall",NA,NA,1.21025044445178,0.330258980177164,NA,NA,3.35432461935252,"Oncology","Oncology"
"Oncology Belgium CRA Engaged","CRA Window","Belgium","Overall","Oncology","Overall",NA,NA,-0.503151248561573,0.210016960301368,NA,NA,0.604622339218963,"Oncology","Oncology"
"Oncology Belgium MSL Engaged","MSL Window","Belgium","Overall","Oncology","Overall",NA,NA,0.318337123882995,0.411313141496451,NA,NA,1.37483967439888,"Oncology","Oncology"
